Country;Economic Region;Population (2020);Coastline(WRI)(km);Coast/Area Ratio (WRI) (m/km2);Happiness Report;GDP Per Capita (2020)
Tanzania, United Rep. of;EMEA;59.734.218,00;3.461,00;3,91;3,231;1.076,47
Thailand;APAC;69.799.978,00;7.066,00;13,80;6,008;7.186,87
Togo;EMEA;8.278.724,00;53,00;975,00;4,085;914,95
Tonga;APAC;105.695,00;909,00;1.270,00;#N/A;4.624,82
Trinidad and Tobago;LATAM;1.399.488,00;704,00;137,00;6,192;15.425,64
Tunisia;EMEA;11.818.619,00;1.927,00;12,40;4,461;3.521,59
Turkey;EMEA;84.339.067,00;8.140,00;10,60;5,373;8.536,43
Turkmenistan;APAC;6.031.200,00;1.289,00;2,74;5,247;
Tuvalu;APAC;11.792,00;;;#N/A;4.143,11
Uganda;EMEA;45.741.007,00;0,00;0,00;4,189;822,03
Ukraine;EMEA;43.733.762,00;4.953,00;8,55;4,332;3.724,94
United Arab Emirates;EMEA;9.890.402,00;2.871,00;34,30;6,825;36.284,56
United Kingdom;EMEA;67.886.011,00;19.717,00;81,50;7,054;41.059,17
United States;North America;331.002.651,00;133.312,00;14,60;6,892;63.593,44
Uruguay;LATAM;3.473.730,00;1.096,00;6,26;6,293;15.438,41
Uzbekistan;APAC;33.469.203,00;1.707,00;4,01;6,174;1.750,70
Vanuatu;APAC;307.145,00;3.132,00;257,00;#N/A;2.870,09
Vatican City;EMEA;#N/A;;;#N/A;#N/A
Venezuela;LATAM;28.435.940,00;6.762,00;7,67;4,707;
Viet Nam;APAC;97.338.579,00;11.409,00;36,80;5,175;2.785,72
Yemen;EMEA;29.825.964,00;3.149,00;5,96;3,380;
Zambia;EMEA;18.383.955,00;0,00;0,00;4,107;985,13
Zimbabwe;EMEA;14.862.924,00;0,00;0,00;3,663;1.214,51
Hong Kong, (China);APAC;7.413.000,00;456,00;#N/A;#N/A;49.660,00
Antilles, Netherlands;LATAM;204.000,00;#N/A;#N/A;#N/A;#N/A
