Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]","International tourism, expenditures (% of total imports) [ST.INT.XPND.MP.ZS]","International tourism, expenditures (current US$) [ST.INT.XPND.CD]","International tourism, expenditures for passenger transport items (current US$) [ST.INT.TRNX.CD]","International tourism, expenditures for travel items (current US$) [ST.INT.TVLX.CD]","International tourism, number of arrivals [ST.INT.ARVL]","International tourism, number of departures [ST.INT.DPRT]",Losses due to theft and vandalism (% of annual sales of affected firms) [IC.FRM.CRIM.ZS],Consumer price index (2010 = 100) [FP.CPI.TOTL],Price level ratio of PPP conversion factor (GDP) to market exchange rate [PA.NUS.PPPC.RF]
2021,YR2021,Cabo Verde,CPV,"6397,30453",,,,,,,,"113,2411951","0,490286507"
2019,YR2019,Cambodia,KHM,"4388,800909","4,554087298",1162000000,251000000,911000000,6611000,2038000,,"130,113128","0,359228502"
2020,YR2020,Cambodia,KHM,"4193,798722","0,922451013",213000000,44000000,169000000,1306000,326000,,"133,938838","0,349840683"
2021,YR2021,Cambodia,KHM,"4262,721656",,,,,,,,"137,8508362","0,339729884"
2019,YR2019,Cameroon,CMR,"3742,856779","10,83056072",984000000,235000000,749000000,1021000,,,"118,6485883","0,39301857"
2020,YR2020,Cameroon,CMR,"3666,410626","9,663834993",697000000,144000000,553000000,,,,"121,5407767","0,397478461"
2021,YR2021,Cameroon,CMR,"3699,695384",,,,,,,,"124,3020101","0,408836423"
2019,YR2019,Canada,CAN,"49171,51109",,,,35776000000,32430000,"37845898,44",,"116,7572982","0,939744677"
2020,YR2020,Canada,CAN,"46064,25396",,,,12078000000,,,,"117,5944476","0,928844289"
2021,YR2021,Canada,CAN,"47903,02891",,,,,,,,"121,5870063","0,999353284"
2019,YR2019,Cayman Islands,CYM,"73724,96695","10,90209042",299000000,72000000,227000000,2334000,,,,"1,191010053"
2020,YR2020,Cayman Islands,CYM,"68717,65041",,,,,660000,,,,"1,177505079"
2021,YR2021,Cayman Islands,CYM,,,,,,,,,,
2019,YR2019,Central African Republic,CAF,"946,0596566",,,,,87000,,,"151,7850853","0,474770128"
2020,YR2020,Central African Republic,CAF,"937,8564701",,,,,,,,"154,380848","0,486996733"
2021,YR2021,Central African Republic,CAF,"928,9439272",,,,,,,,"160,9564905","0,501193654"
2019,YR2019,Chad,TCD,"1579,626101",,,,,81000,,,"117,6982047","0,430992415"
2020,YR2020,Chad,TCD,"1509,027172",,,,,"10399,99962",5500,,"122,9524225","0,40985206"
2021,YR2021,Chad,TCD,"1447,806492",,,,,,,,"122,0021916","0,437849465"
2019,YR2019,Channel Islands,CHI,,,,,,,,,,
2020,YR2020,Channel Islands,CHI,,,,,,,,,,
2021,YR2021,Channel Islands,CHI,,,,,,,,,,
2019,YR2019,Chile,CHL,"24931,12188","3,919060597",3142000000,714000000,2428000000,5431000,4091000,,"131,913567","0,58048535"
